nomem_encr,cntry.orig,gp.orig,origin,lang.r2,eco.d1,gov.d1,dem.d1,msg.d1,c.eco.d1,c.gov.d1,c.dem..d1,c.msg.d1,eco.posneg,dem.posneg,prl.d1,pol.d1,par.d1,led.d1,c.prl.d1,c.pol.d1,c.par.d1,c.led.d1,polintrst,d.ethnic,d.national,d.relig,d.lang,d.origin,d.age,d.gender,d.sex,d.disable,o.ethnic,o.national,o.relig,o.lang,o.orig,o.age,o.gender,o.sex,o.disable,o.other,conflict,opposition,identity,blend,language,scndlang,lang.job,lang.job.na,lang.friends,lang.friends.na,lang.home,lang.home.na,lang.mother,lang.mother.na,lang.father,lang.father.na,write.d,read.d,speak.d,listen.d,language2,write2,read2,speak2,listen2,cntry.orig2,eco.d2,gov.d2,dem.d2,msg.d2,c.eco.d2,c.gov.d2,c.dem.d2,c.msg.d2,eco.posneg2,dem.posneg2,prl.d2,pol.d2,par.d2,led.d2,c.prl.d2,c.pol.d2,c.par.d2,c.led.d2,polintrst2,d.ethnic2,d.national2,d.relig2,d.lang2,d.orig2,d.age2,d.gender2,d.sex2,d.disable2,o2.ethnic,o2.national,o2.relig,o2.lang,o2.orig,o2.age,o2.gender,o2.sex,o2.disable,o2.other,conflict2,opposition2,identity2,blend2,eco.o,gov.o,dem.o,msg.o,c.eco.o,c.gov.o,c.dem.o,c.msg.o,eco.posneg3,dem.posneg3,trst.parl3,trst.police3,trst.polpar3,trst.leader3,c.prl.o,c.pol.o,c.par.o,c.led.o,polintrst3,d.ethnic3,d.national3,d.relig3,d.lang3,d.orig3,d.age3,d.gender3,d.sex3,d.disable3,o.ethnic3,o.national3,o.relig3,o.lang3,o.origin3,o.age3,o.gender3,o.sex3,o.disable3,o.other3,conflict3,opposition3,identity3,blend3,Round,d.other,d.other2,d.other3,r2r3,gp2
831484,The Netherlands,autochthonous origins,,Dutch,2,6,3,6,7,6,7,5,5,5,6,5,5,6,6,7,6,6,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,5,10,6,10,,,,,,The Netherlands,2,5,5,5,6,6,6,1,5,5,6,6,5,6,5,7,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,5,6,6,5,6,5,6,5,5,5,5,6,6,6,5,5,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
831567,The Netherlands,autochthonous origins,,Dutch,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,10,10,10,1,2,2,2,2,2,1,1,2,2,,,,,,3,3,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,The Netherlands,0,0,3,0,10,10,10,5,0,0,0,0,0,0,10,10,10,10,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,0,0,0,0,10,10,10,10,0,0,0,0,0,0,10,10,10,10,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
831698,"South Africa, first or second generation","Second generation non-Dutch, non-western origins",Autochthonous,,0,1,3,3,9,9,8,8,3,1,1,3,1,2,8,8,8,9,3,2,1,2,2,1,1,2,2,2,,1,,,1,2,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,7,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
831704,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,English,4,5,5,5,10,8,7,7,6,6,5,5,5,5,7,7,6,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,5,6,English,,Dutch,,Dutch,,Dutch,,13,,13,,7,8,9,10,Engels,10,10,10,10,"Other Western origin, first or second generation",6,6,8,6,4,4,3,3,6,6,6,6,6,6,6,6,6,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,6,6,6,4,8,7,8,6,4,6,6,4,7,6,6,6,6,6,6,6,6,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,6,6,6,6,1,,,,R2R3,Other
831716,"Other Western origin, first or second generation","Second generation non-Dutch, western origins",,,5,6,4,4,6,6,6,5,5,5,5,7,5,3,6,5,5,8,3,1,2,1,1,2,2,2,2,2,1,,2,2,,,,,,3,4,5,5,5,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,13,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,niets,,,R1,
831750,The Netherlands,autochthonous origins,,,3,5,5,5,7,6,5,5,4,5,5,7,5,5,5,8,5,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
831970,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,,5,5,7,7,7,8,7,2,5,5,5,9,2,2,8,2,8,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,5,5,10,Dutch,,Dutch,,Dutch,,Flemish,,Flemish,,Flemish,,8,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
831976,"Other non-Western origin, first or second generation","First generation non-Dutch, non-western origins",,English,3,4,4,8,8,8,5,3,5,5,7,7,5,5,8,8,8,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,10,0,English,,Dutch,,Dutch,,Dutch,,13,,13,,8,9,10,10,Engels,10,10,10,10,"Other Western origin, first or second generation",5,4,4,5,6,9,8,6,5,6,4,5,4,5,8,7,7,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,0,10,9,5,4,5,5,7,7,6,0,5,5,4,5,4,5,7,7,8,0,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,0,10,8,1,,,,R2R3,Other
832025,The Netherlands,autochthonous origins,,Dutch,3,4,5,5,7,7,7,5,4,5,4,4,3,4,8,8,8,7,4,2,2,2,2,2,1,2,2,2,,,,,,3,,,,4,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,8,9,9,9,,,,,,The Netherlands,2,5,5,6,7,8,8,5,4,5,6,7,5,6,8,7,8,9,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,3,4,4,5,8,8,8,5,4,5,5,7,5,5,8,7,7,8,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,te nuchter,,,R2R3,Dutch
832330,"Indonesia, first or second generation","Second generation non-Dutch, western origins",,,5,4,4,5,7,7,7,5,5,5,4,5,4,5,7,7,7,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,5,5,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,13,,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
832354,The Netherlands,autochthonous origins,,,5,5,7,7,7,7,4,5,6,5,5,6,6,6,5,6,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
832369,The Netherlands,autochthonous origins,,,6,6,8,7,4,5,7,3,5,5,6,7,5,6,5,5,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
832531,The Netherlands,autochthonous origins,,,3,3,6,6,7,7,5,4,3,3,4,8,3,3,7,7,8,8,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
832659,The Netherlands,autochthonous origins,,,6,7,7,8,4,4,4,3,7,4,7,7,4,7,4,3,6,4,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,8,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
